Parti,1973,1976,1979,1982,1985,1988,1991,1994,1998,2002,2006,2010,2014,2018
Moderaterna,51,55,73,86,76,66,80,80,82,55,97,107,84,70
Centerpartiet,90,86,64,56,44,42,31,27,18,22,29,23,22,31
Liberalerna,34,39,38,21,51,44,33,26,17,48,28,24,19,20
Kristdemokraterna,0,0,0,0,NA,0,26,15,42,33,24,19,16,22
Miljöpartiet,NA,NA,NA,0,0,20,0,18,16,17,19,25,25,16
Ny demokrati,NA,NA,NA,NA,NA,NA,25,0,0,NA,NA,NA,NA,NA
Socialdemokraterna,156,152,154,166,159,156,138,161,131,144,130,112,113,100
Vänsterpartiet,19,17,20,20,19,21,16,22,43,30,22,19,21,28
Sverigedemokraterna,NA,NA,NA,NA,NA,0,0,0,0,0,0,20,49,62
